iter	Passed	Remaining
0	1	164
1	2	128
2	4	154
3	5	139
4	8	163
5	10	160
6	12	168
7	14	165
8	16	164
9	18	168
10	20	165
11	22	162
12	23	159
13	27	165
14	29	167
15	31	165
16	33	164
17	34	159
18	37	157
19	38	155
20	42	158
21	44	159
22	46	157
23	48	155
24	51	155
25	54	154
26	56	151
27	57	147
28	59	146
29	61	144
30	64	143
31	66	141
32	67	138
33	69	134
34	71	133
35	73	130
36	75	128
37	78	127
38	80	126
39	82	123
40	84	121
41	85	117
42	87	115
43	89	114
44	92	112
45	93	109
46	95	107
47	96	104
48	97	101
49	99	99
50	100	96
51	101	94
52	103	91
53	127	108
54	128	105
55	130	102
56	131	99
57	133	96
58	134	93
59	135	90
60	136	87
61	137	84
62	138	81
63	139	78
64	140	75
65	141	73
66	142	70
67	144	68
68	145	65
69	147	63
70	148	60
71	149	58
72	150	55
73	151	53
74	153	51
75	154	48
76	155	46
77	156	44
78	157	41
79	159	39
80	160	37
81	161	35
82	162	33
83	163	31
84	164	29
85	165	26
86	166	24
87	167	22
88	168	20
89	169	18
90	170	16
91	172	14
92	173	13
93	174	11
94	175	9
95	176	7
96	177	5
97	178	3
98	179	1
99	180	0
